title,category,publish_date,article_url
Jelang Akhir Pekan IHSG Dibuka ke Zona Merah di Level 7.254,detikFinance,"Jumat, 05 Apr 2024 09:05 WIB",https://finance.detik.com/bursa-dan-valas/d-7279478/jelang-akhir-pekan-ihsg-dibuka-ke-zona-merah-di-level-7-254
IHSG Pagi Ini Dibuka di Level 7.166,detikFinance,"Kamis, 04 Apr 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7277498/ihsg-pagi-ini-dibuka-di-level-7-166
Kirim THR dari Luar Negeri ke RI Makin Mudah Pakai BRIfast Remittance,detikFinance,"Kamis, 28 Mar 2024 16:16 WIB",https://finance.detik.com/moneter/d-7266625/kirim-thr-dari-luar-negeri-ke-ri-makin-mudah-pakai-brifast-remittance
Awal Pekan IHSG Nyungsep di Zona Merah,detikFinance,"Senin, 25 Mar 2024 09:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7259699/awal-pekan-ihsg-nyungsep-di-zona-merah
Erick Thohir Puji Kinerja BSI Bisa Masuk Top 10 Bank Syariah Dunia,detikFinance,"Kamis, 14 Mar 2024 22:27 WIB",https://finance.detik.com/moneter/d-7242308/erick-thohir-puji-kinerja-bsi-bisa-masuk-top-10-bank-syariah-dunia
Lebih Cepat dari Target! BSI Resmi Masuk Jajaran Top 10 Global Islamic Bank,detikFinance,"Kamis, 14 Mar 2024 19:05 WIB",https://finance.detik.com/bursa-dan-valas/d-7241978/lebih-cepat-dari-target-bsi-resmi-masuk-jajaran-top-10-global-islamic-bank
"IHSG Kembali Dibuka Menguat ke 7.341, Menguat 0,15%",detikFinance,"Kamis, 07 Mar 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7229359/ihsg-kembali-dibuka-menguat-ke-7-341-menguat-0-15
Jumbo! BRI Tebar Dividen Rp 48 T,detikFinance,"Jumat, 01 Mar 2024 17:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7220564/jumbo-bri-tebar-dividen-rp-48-t
"Erick Thohir Rombak Komisaris BRI, Ada Nama Baru",detikFinance,"Jumat, 01 Mar 2024 17:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7220532/erick-thohir-rombak-komisaris-bri-ada-nama-baru
Simak! Saham Pilihan buat Akhir Pekan,detikFinance,"Jumat, 01 Mar 2024 09:02 WIB",https://finance.detik.com/bursa-dan-valas/d-7219381/simak-saham-pilihan-buat-akhir-pekan
"Daftar 6 Bank dengan Aset Terbesar RI, BSI Balap CIMB Niaga",detikFinance,"Jumat, 23 Feb 2024 14:11 WIB",https://finance.detik.com/moneter/d-7208042/daftar-6-bank-dengan-aset-terbesar-ri-bsi-balap-cimb-niaga
Analis Pasar Modal Prediksi Saham BRIS Bisa Tembus Rp 2.700,detikFinance,"Kamis, 22 Feb 2024 12:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7206021/analis-pasar-modal-prediksi-saham-bris-bisa-tembus-rp-2-700
"Volume Transaksi Saham BSI Naik Signifikan, Tembus Rp 115,93 M di 2024",detikFinance,"Selasa, 13 Feb 2024 18:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7191328/volume-transaksi-saham-bsi-naik-signifikan-tembus-rp-115-93-m-di-2024
