title,category,publish_date,article_url
"Kinerja Pendapatan Optimal, BNI Optimistis Harga Saham Terus Meningkat",detikFinance,"Sabtu, 04 Nov 2023 11:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7018788/kinerja-pendapatan-optimal-bni-optimistis-harga-saham-terus-meningkat
Harga Saham BBNI Setelah Stock Split Dipasarkan Mulai dari Rp 5.200,detikFinance,"Jumat, 06 Okt 2023 17:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6969008/harga-saham-bbni-setelah-stock-split-dipasarkan-mulai-dari-rp-5-200
"Saham BNI Catat Rekor Tertinggi, Pengamat: Dipicu Euforia Stock Split",detikFinance,"Rabu, 04 Okt 2023 13:03 WIB",https://finance.detik.com/bursa-dan-valas/d-6964428/saham-bni-catat-rekor-tertinggi-pengamat-dipicu-euforia-stock-split
Saham BNI Cetak Rekor Tertinggi Sepanjang Masa di Rp 10.375,detikFinance,"Sabtu, 30 Sep 2023 10:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6957711/saham-bni-cetak-rekor-tertinggi-sepanjang-masa-di-rp-10-375
"Stock Split Buat Saham Lebih Likuid, BNI Sasar Investor Muda",detikFinance,"Senin, 25 Sep 2023 13:43 WIB",https://finance.detik.com/bursa-dan-valas/d-6949376/stock-split-buat-saham-lebih-likuid-bni-sasar-investor-muda
RUPS-LB BNI Setujui Stock Split Rasio 1:2 & Komisaris-Direksi Baru,detikFinance,"Rabu, 20 Sep 2023 08:49 WIB",https://finance.detik.com/moneter/d-6940528/rups-lb-bni-setujui-stock-split-rasio-1-2-komisaris-direksi-baru
Pengin Cuan Tambahan? Simak Dulu Saham-saham Ini,detikFinance,"Rabu, 20 Sep 2023 08:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6940505/pengin-cuan-tambahan-simak-dulu-saham-saham-ini
"Bos BNI Sebut Saham BBNI Masih 'Kemurahan', Ini Alasannya",detikFinance,"Selasa, 19 Sep 2023 17:30 WIB",https://finance.detik.com/moneter/d-6939791/bos-bni-sebut-saham-bbni-masih-kemurahan-ini-alasannya
"IHSG Hari Ini Menguat Lagi, Kapan Balik ke 7.000 Nih?",detikFinance,"Selasa, 19 Sep 2023 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-6938582/ihsg-hari-ini-menguat-lagi-kapan-balik-ke-7-000-nih
Simak Saham-saham Pilihan yang Berpotensi Kasih Cuan,detikFinance,"Selasa, 19 Sep 2023 08:42 WIB",https://finance.detik.com/bursa-dan-valas/d-6938539/simak-saham-saham-pilihan-yang-berpotensi-kasih-cuan
Pakar Prediksi Rencana Stock Split BBNI Berdampak Positif ke Harga Saham,detikFinance,"Senin, 18 Sep 2023 13:39 WIB",https://finance.detik.com/bursa-dan-valas/d-6937264/pakar-prediksi-rencana-stock-split-bbni-berdampak-positif-ke-harga-saham
Akhir Pekan Ada Saham yang Berpotensi Cuan? Simak di Sini,detikFinance,"Jumat, 15 Sep 2023 08:35 WIB",https://finance.detik.com/bursa-dan-valas/d-6932132/akhir-pekan-ada-saham-yang-berpotensi-cuan-simak-di-sini
IHSG Hari Ini Dibuka di Zona Merah,detikFinance,"Rabu, 13 Sep 2023 09:32 WIB",https://finance.detik.com/bursa-dan-valas/d-6928218/ihsg-hari-ini-dibuka-di-zona-merah
IHSG Masih Merah di Perdagangan Awal Pekan,detikFinance,"Senin, 11 Sep 2023 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-6924226/ihsg-masih-merah-di-perdagangan-awal-pekan
BNI Buka-bukaan Jurus Genjot Pembiayaan Hijau,detikFinance,"Rabu, 06 Sep 2023 13:23 WIB",https://finance.detik.com/moneter/d-6916295/bni-buka-bukaan-jurus-genjot-pembiayaan-hijau
Total Kredit BNI Xpora Tembus Rp 29 Triliun dan Rangkul 27.000 UMKM,detikFinance,"Senin, 21 Agu 2023 10:49 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-6887138/total-kredit-bni-xpora-tembus-rp-29-triliun-dan-rangkul-27-000-umkm
"Lanjutkan Pelemahan, IHSG Pagi Ini Dibuka Melemah di 6.875",detikFinance,"Rabu, 02 Agu 2023 09:09 WIB",https://finance.detik.com/bursa-dan-valas/d-6854176/lanjutkan-pelemahan-ihsg-pagi-ini-dibuka-melemah-di-6-875
"Seharian Merah, IHSG Ditutup Melemah 0,65% ke Level 6.886",detikFinance,"Selasa, 01 Agu 2023 16:35 WIB",https://finance.detik.com/bursa-dan-valas/d-6853228/seharian-merah-ihsg-ditutup-melemah-0-65-ke-level-6-886
Bahana Prediksi IHSG Tembus 7.200 Sampai Akhir 2023,detikFinance,"Selasa, 01 Agu 2023 15:55 WIB",https://finance.detik.com/bursa-dan-valas/d-6853107/bahana-prediksi-ihsg-tembus-7-200-sampai-akhir-2023
IHSG Selasa Pagi Dibuka Melemah ke Level 6.915,detikFinance,"Selasa, 01 Agu 2023 09:14 WIB",https://finance.detik.com/bursa-dan-valas/d-6852175/ihsg-selasa-pagi-dibuka-melemah-ke-level-6-915
"Tunjukkan Pertumbuhan Positif, Saham BBNI Jadi Rekomendasi Analis Saham",detikFinance,"Senin, 31 Jul 2023 10:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6850283/tunjukkan-pertumbuhan-positif-saham-bbni-jadi-rekomendasi-analis-saham
"Idul Adha, BNI Salurkan 730 Hewan Kurban ke Berbagai Wilayah RI",detikFinance,"Kamis, 29 Jun 2023 22:10 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-6798816/idul-adha-bni-salurkan-730-hewan-kurban-ke-berbagai-wilayah-ri
"BNI dan BRI Bakal Lepas Saham dari BSI, Dirut Buka-bukaan Penggantinya",detikFinance,"Kamis, 22 Jun 2023 19:15 WIB",https://finance.detik.com/bursa-dan-valas/d-6787369/bni-dan-bri-bakal-lepas-saham-dari-bsi-dirut-buka-bukaan-penggantinya
"Geger Krisis Perbankan di AS, Investasi Apa yang Aman?",detikFinance,"Senin, 08 Mei  2023 06:30 WIB",https://finance.detik.com/portofolio/d-6708659/geger-krisis-perbankan-di-as-investasi-apa-yang-aman
